pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|Q7L5Y6#Q8NHY2|O00291,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,O00291,DET1#COP1,HIP1,Other,0,neg2x_initial_degree_matched,,DET1#COP1,HIP1,DET1#COP1|HIP1,False,,cytoplasm;membrane;nucleus;vesicle,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|O60294,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,O60294,DET1#COP1,LCMT2,Other,0,neg2x_initial_degree_matched,,DET1#COP1,LCMT2,DET1#COP1|LCMT2,False,,,,False,False,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q13740,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q13740,DET1#COP1,ALCAM,Other,0,neg2x_initial_degree_matched,,DET1#COP1,ALCAM,ALCAM|DET1#COP1,False,,extracellular;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|P06790,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,P06790,DET1#COP1,E2,Other,0,neg2x_initial_degree_matched,,DET1#COP1,E2,DET1#COP1|E2,False,,,,False,False,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q16637,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q16637,DET1#COP1,SMN1,Other,0,neg2x_initial_degree_matched,,DET1#COP1,SMN1,DET1#COP1|SMN1,False,,cytoplasm;cytoskeleton;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|O15085,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,O15085,DET1#COP1,ARHGEF11,Other,0,neg2x_initial_degree_matched,,DET1#COP1,ARHGEF11,ARHGEF11|DET1#COP1,False,,cytoplasm;membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q9UM07,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q9UM07,DET1#COP1,PADI4,Other,0,neg2x_initial_degree_matched,,DET1#COP1,PADI4,DET1#COP1|PADI4,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|P16234,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,P16234,DET1#COP1,PDGFRA,Other,0,neg2x_initial_degree_matched,,DET1#COP1,PDGFRA,DET1#COP1|PDGFRA,False,,golgi;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q9P212,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q9P212,DET1#COP1,PLCE1,Other,0,neg2x_initial_degree_matched,,DET1#COP1,PLCE1,DET1#COP1|PLCE1,False,,cytoplasm;golgi;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q9UKT9,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q9UKT9,DET1#COP1,IKZF3,Other,0,neg2x_initial_degree_matched,,DET1#COP1,IKZF3,DET1#COP1|IKZF3,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q9ULT6,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q9ULT6,DET1#COP1,ZNRF3,Other,0,neg2x_initial_degree_matched,,DET1#COP1,ZNRF3,DET1#COP1|ZNRF3,False,,membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q9H0M0#O00308|P07199,E3|Q9H0M0#O00308,E3,Q9H0M0#O00308,P07199,WWP1#WWP2,CENPB,HECT,0,neg2x_initial_degree_matched,,WWP1#WWP2,CENPB,CENPB|WWP1#WWP2,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q9H0M0#O00308|Q08881,E3|Q9H0M0#O00308,E3,Q9H0M0#O00308,Q08881,WWP1#WWP2,ITK,HECT,0,neg2x_initial_degree_matched,,WWP1#WWP2,ITK,ITK|WWP1#WWP2,False,,cytoplasm;membrane;nucleus;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q9P2J3#Q9P2N7|Q9I788,E3|Q9P2J3#Q9P2N7,E3,Q9P2J3#Q9P2N7,Q9I788,KLHL9#KLHL13,exoT,Other,0,neg2x_initial_degree_matched,,KLHL9#KLHL13,EXOT,EXOT|KLHL9#KLHL13,False,,,,False,False,False,False,False,False,False,False,0.0,CRC,
E3|Q9P2J3#Q9P2N7|Q12913,E3|Q9P2J3#Q9P2N7,E3,Q9P2J3#Q9P2N7,Q12913,KLHL9#KLHL13,PTPRJ,Other,0,neg2x_initial_degree_matched,,KLHL9#KLHL13,PTPRJ,KLHL9#KLHL13|PTPRJ,False,,cell_junction;extracellular;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q9ULH1#Q12888|O60784,E3|Q9ULH1#Q12888,E3,Q9ULH1#Q12888,O60784,ASAP1#TP53BP1,TOM1,Other,0,neg2x_initial_degree_matched,,ASAP1#TP53BP1,TOM1,ASAP1#TP53BP1|TOM1,False,,cytoplasm;endosome;membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q9ULH1#Q12888|Q96SW2,E3|Q9ULH1#Q12888,E3,Q9ULH1#Q12888,Q96SW2,ASAP1#TP53BP1,CRBN,Other,0,neg2x_initial_degree_matched,,ASAP1#TP53BP1,CRBN,ASAP1#TP53BP1|CRBN,False,,cytoplasm;membrane;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
