gene,crc_expr
AC007622.2,0.0004814800775891029
AC007638.1,0.0006953973909440779
AC007638.2,0.000359031900239352
AC007639.1,0.00014140658295091644
AC007663.3,0.001237715642340223
AC007666.1,0.0007492588738323523
AC007679.1,0.00010770410339000281
AC007681.1,0.0022061348918462056
AC007683.1,0.004660288313256067
AC007686.3,0.008849241708749818
AC007687.1,0.0006823272121831266
AC007728.1,0.0005361562787846681
AC007728.2,0.0055217120978250335
AC007743.1,0.0008657414888913205
AC007750.1,0.0004101545783916218
AC007750.5,0.00011616297200618048
AC007773.1,0.002610356216041452
AC007773.2,0.0014006295431463406
AC007786.1,0.00027659085778453416
AC007823.1,0.0012108111062355653
AC007848.1,0.00015052569871782027
AC007879.2,0.0005485368597871647
AC007879.3,0.0010731012042324048
AC007879.7,0.00019004000333738402
AC007880.1,0.0005824416223762983
AC007881.3,0.0031821983666734987
AC007906.2,0.00019255084343978122
AC007920.2,0.0016672067605374274
AC007922.1,0.0004200614877981326
AC007938.1,0.0003297034246369387
AC007938.2,0.0010485628206806632
AC007938.3,0.0018853745709764206
AC007950.2,0.0058228994760955765
AC007952.4,0.03510933398815087
AC007966.1,0.0002126206060738668
AC007993.3,0.0009175397504888671
AC007998.3,0.0011740129233215751
AC007998.4,0.00017352101360141646
AC008011.2,0.00039351054203234996
AC008014.1,0.0034883660889572427
AC008035.1,0.003910476859283175
AC008040.1,0.0009254574975434016
AC008040.5,0.014224012680915043
AC008050.1,0.0005730000137502802
AC008063.1,0.00013942414513678348
AC008074.1,0.0003112071317376917
AC008074.3,0.0061582512233906775
AC008079.10,0.0045608167099025895
AC008079.2,0.00547580267196616
AC008083.1,0.00013189081192398503
AC008083.2,0.0027393718800414733
AC008083.3,0.00041213597550199336
AC008088.4,0.0001827386751417742
AC008105.1,0.0035399671942264663
AC008105.3,0.00875372044639333
AC008115.1,0.0003431788773557022
AC008115.4,0.0015715316118566755
AC008121.2,0.0005583420689755702
AC008121.3,0.0003693361037251699
AC008124.1,0.0709272605320115
AC008147.1,0.00043274205406764165
AC008149.1,0.000611425620506182
AC008154.5,0.00019605278421499004
AC008264.2,0.006953445184895886
AC008267.5,0.010888001565586638
AC008269.1,0.0010541038480826165
AC008269.2,0.0004103196951083226
AC008277.1,0.00024222001537592874
AC008378.1,0.004147368968097493
AC008393.1,0.017339973200589755
AC008397.1,0.013624124953882013
AC008397.2,0.006470376092982285
AC008403.2,0.00015805875965532097
AC008403.3,0.0007187644605831432
AC008429.1,0.00045017732346805834
AC008429.3,0.00036616560150973926
AC008438.1,0.000599937852613841
AC008440.1,0.0019154049391422036
AC008440.2,0.004695502321209479
AC008440.5,0.0009578200244154721
AC008443.5,0.010159409395870511
AC008443.6,0.00030830051109497457
AC008456.1,8.351626016075502e-05
AC008467.1,0.014526008475005486
AC008494.3,0.0011194043274850272
AC008507.2,0.0005460607673701388
AC008522.1,0.003499806092520611
AC008537.4,0.0013666796578068968
AC008539.1,7.479249728332477e-05
AC008543.1,0.0028380253791081096
AC008543.5,0.00043591214690491835
AC008551.1,0.0004842536476882383
AC008555.2,0.0005250630256761682
AC008555.5,0.011191180999511411
AC008556.1,0.0010600405970739787
AC008569.1,0.0004894045240019451
AC008592.4,0.0011356292244009646
AC008592.5,0.00022426566573170777
AC008608.2,0.012081443120929382
AC008609.1,6.805130668566627e-05
AC008610.1,0.002567343819440951
AC008622.2,0.0018928823270021144
AC008629.1,0.0002496361190086798
AC008637.1,0.0022535209747480836
AC008649.2,0.0007144079685949509
AC008655.1,0.0020260280470329154
AC008655.2,0.00015964465319633528
AC008667.4,0.00010492850688529796
AC008676.1,0.004264987562197911
AC008686.1,0.0007686634705017633
AC008697.1,0.0001818796885562715
AC008731.1,0.005120160452933749
AC008735.2,0.00983538956671334
AC008735.4,0.0004295719417385645
AC008736.1,0.005201045466431926
AC008738.2,0.000409362017415374
AC008738.3,0.0002861039585546655
AC008741.2,0.03096997556895099
AC008746.12,0.001398058659190565
AC008747.1,0.000893389870956475
AC008750.2,0.0004890083045740125
AC008752.1,0.0005991455833241078
AC008752.2,0.0006264781703107522
AC008753.6,0.0004871592765509124
AC008758.1,0.02779480159963256
AC008758.4,0.0025626082904475302
AC008759.3,0.0015588790233665676
AC008760.1,0.0008716144196039394
AC008763.1,0.00022228354649203689
AC008764.3,0.0011387949984134316
AC008764.6,0.00542047049560276
AC008764.8,0.01716009015929466
AC008771.1,0.009862625962173651
AC008781.1,0.0013884342105556858
AC008781.2,0.0005551727288257044
AC008781.7,0.00025102352966950786
AC008870.3,0.0023873631334723365
AC008875.1,0.0016743223845647672
AC008894.2,0.00033842287543642437
AC008897.2,0.002394863583244565
AC008897.3,0.0010058157504051603
AC008906.1,0.011213689135641193
AC008906.2,0.001654556519781314
AC008914.1,0.00483303399731796
AC008915.2,0.005070288125701952
AC008937.1,0.00015052569871782024
AC008937.3,0.0020070657713006645
AC008945.1,0.0010766631305832643
AC008946.1,0.0010513333418254614
AC008957.1,0.0010465838678908363
AC008966.1,0.0009907742716259904
AC008966.2,0.0006193480699212427
AC008972.2,0.0019707194600158506
AC009005.1,0.00518298486476756
AC009005.2,0.004191462694332072
AC009014.3,0.0036307489692467675
AC009021.2,0.0003804327079450617
AC009034.1,0.000662919365780519
AC009041.1,0.00018462183303289098
AC009041.2,0.0002428972141199663
