gene,lihc_expr
AC007750.5,0.00030142780521494127
AC007773.2,0.0012555903735575258
AC007790.4,0.00551608651536731
AC007792.1,0.0003404693269072326
AC007796.1,0.00025963381056588264
AC007879.2,0.00100696921012267
AC007879.3,0.0013271346255676385
AC007879.5,0.019443126095677554
AC007881.3,0.00426209106076387
AC007881.4,0.00027888143930539797
AC007899.3,0.01968684615629371
AC007906.2,0.0050845046008731664
AC007919.18,0.001622350658713025
AC007950.1,3.9212959608402035e-05
AC007950.2,0.0028337469558471972
AC007952.4,0.17376626411073204
AC007952.5,0.00040296665323262044
AC007952.6,0.00015568497868697118
AC007966.1,0.00013498286635598567
AC007969.1,0.0023638986336620505
AC007969.5,0.17836745450951563
AC007998.2,0.03596499608574812
AC008014.1,0.009623107919814869
AC008026.1,0.00035788131888313306
AC008040.1,0.012669400417358685
AC008063.2,0.0139588507371207
AC008065.1,0.0007576556838165936
AC008067.2,0.000797763656927792
AC008073.7,0.0003047271959028104
AC008073.9,0.001086674434381102
AC008074.1,0.00042819016952688906
AC008074.2,0.012039958434937133
AC008074.3,0.0001816115255804606
AC008079.10,0.0053205465753098195
AC008083.3,0.011516219840341655
AC008088.4,0.0005502929585211138
AC008105.3,0.024333455392410795
AC008115.3,0.0033728296327829176
AC008124.1,0.046371442860568865
AC008132.13,0.000495508305478335
AC008154.5,4.571483841082124e-05
AC008264.4,0.00020537020377160099
AC008267.5,0.006531311409389085
AC008277.1,0.015389761976682233
AC008278.3,0.00010067765142597624
AC008280.3,0.0019042493233710817
AC008378.1,0.004642763568693942
AC008427.2,0.00034101918771108823
AC008440.10,0.0016020527687404073
AC008440.5,0.016792375867513826
AC008443.1,0.021845871086005882
AC008443.5,0.002283542511187433
AC008481.1,0.000489827979171724
AC008481.3,0.0032370145254846665
AC008522.1,0.0008019091462145829
AC008543.1,0.0014759513527995583
AC008549.2,0.011606462290936473
AC008555.4,0.008686966469954274
AC008575.1,0.07863876674940873
AC008575.2,0.014137985314444452
AC008592.3,0.0014195667144787257
AC008592.4,0.0008257825609797821
AC008592.5,0.00221066397059174
AC008592.7,0.0005927976938023076
AC008608.2,0.006770491305787519
AC008610.1,0.0018230948631994866
AC008694.2,4.731528910120657e-05
AC008695.1,0.05589971123607877
AC008697.1,0.005090501112974232
AC008735.2,0.0031007099606164892
AC008746.12,0.0018708601322810449
AC008746.5,0.0006142320260515274
AC008750.8,0.003655290589022236
AC008753.4,0.00026788287675968644
