fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,n_test,n_test_pos,n_test_neg,fusion_name,models,algorithm
4,0.7641045205237084,0.8514072133188257,0.7648864333947207,0.6908797417271993,0.7235772357723578,0.8111979166666666,0.2130664260184589,1239,768,471,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost
0,0.710514509505864,0.7659955571083801,0.6600609756097561,0.6403225806451613,0.7006472491909385,0.6239193083573487,0.23068191233039018,1240,694,546,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic
1,0.7499519806566787,0.8569787933054559,0.741424802110818,0.6836158192090396,0.7762430939226519,0.7095959595959596,0.21073005539972062,1239,792,447,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic
2,0.7516129568658753,0.8407888273105912,0.7376373626373627,0.6916868442292171,0.7839416058394161,0.6964980544747081,0.21435327811289734,1239,771,468,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic
3,0.7377340661675491,0.8308477633210862,0.7125790583274771,0.6698950766747377,0.7897196261682243,0.649167733674776,0.224475596529396,1239,781,458,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic
4,0.7463232041755131,0.8318271070778873,0.7399864222674813,0.6908797417271993,0.7730496453900709,0.7096354166666666,0.2122510350835816,1239,768,471,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic
0,0.7229154131171422,0.7697854119089476,0.7266553480475382,0.6104838709677419,0.5983224603914259,0.9250720461095101,0.22050895691236197,1240,694,546,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
1,0.7410104964635167,0.8554572569388319,0.770949720670391,0.6690879741727199,0.6913827655310621,0.8712121212121212,0.20094680734342357,1239,792,447,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
2,0.7802914407972775,0.8611647287806806,0.7890222984562607,0.7021791767554479,0.7055214723926381,0.8949416342412452,0.19729622087308427,1239,771,468,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
3,0.7674700445627316,0.8526294862084749,0.7887168141592921,0.6916868442292171,0.6942551119766309,0.912932138284251,0.19732221468926553,1239,781,458,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
4,0.7428993608457184,0.8351775540648239,0.7749860413176997,0.6747376916868443,0.678396871945259,0.9036458333333334,0.2022892935740886,1239,768,471,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
0,0.7390716871984884,0.802027994566811,0.7202572347266881,0.6491935483870968,0.6504065040650406,0.8069164265129684,0.23805952514231235,1240,694,546,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
1,0.7526495378844372,0.858822467902847,0.7683686176836861,0.6997578692493946,0.757985257985258,0.7790404040404041,0.21549564877736643,1239,792,447,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
2,0.7906814327047791,0.8672046991941132,0.7923809523809524,0.7360774818401937,0.7761194029850746,0.8093385214007782,0.19175644039924222,1239,771,468,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
3,0.7847220280795532,0.8665411912769828,0.7901840490797546,0.7239709443099274,0.7585394581861012,0.8245838668373879,0.19536769498888534,1239,781,458,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
4,0.7623048257254068,0.8555760833997955,0.7671568627450981,0.6933010492332526,0.7245370370370371,0.8151041666666666,0.2179556023012996,1239,768,471,esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
