src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
1524,1894,O15357,P48059,plasma_membrane,co_localized,-1,1524|1894|plasma_membrane
1524,1405,O15357,P48546,plasma_membrane,co_localized,-1,1405|1524|plasma_membrane
1524,1672,O15357,P48730,plasma_membrane,co_localized,-1,1524|1672|plasma_membrane
1524,825,O15357,P48736,plasma_membrane,co_localized,-1,825|1524|plasma_membrane
1524,2014,O15357,P48764,plasma_membrane,co_localized,-1,1524|2014|plasma_membrane
1524,508,O15357,P49281,plasma_membrane,co_localized,-1,508|1524|plasma_membrane
1524,1020,O15357,P49407,plasma_membrane,co_localized,-1,1020|1524|plasma_membrane
1524,1021,O15357,P49757,plasma_membrane,co_localized,-1,1021|1524|plasma_membrane
1524,1448,O15357,P49768,plasma_membrane,co_localized,-1,1448|1524|plasma_membrane
1524,1647,O15357,P49841,plasma_membrane,co_localized,-1,1524|1647|plasma_membrane
1524,1615,O15357,P50552,plasma_membrane,co_localized,-1,1524|1615|plasma_membrane
1524,82,O15357,P50876,plasma_membrane,co_localized,-1,82|1524|plasma_membrane
1524,905,O15357,P51168,plasma_membrane,co_localized,-1,905|1524|plasma_membrane
1524,906,O15357,P51170,plasma_membrane,co_localized,-1,906|1524|plasma_membrane
1524,1054,O15357,P51451,plasma_membrane,co_localized,-1,1054|1524|plasma_membrane
1524,1570,O15357,P51795,plasma_membrane,co_localized,-1,1524|1570|plasma_membrane
1524,430,O15357,P54578,plasma_membrane,co_localized,-1,430|1524|plasma_membrane
1524,827,O15357,P54762,plasma_membrane,co_localized,-1,827|1524|plasma_membrane
1524,1874,O15357,P55017,plasma_membrane,co_localized,-1,1524|1874|plasma_membrane
1524,828,O15357,P55085,plasma_membrane,co_localized,-1,828|1524|plasma_membrane
1524,1840,O15357,P55290,plasma_membrane,co_localized,-1,1524|1840|plasma_membrane
1524,1406,O15357,P56750,plasma_membrane,co_localized,-1,1406|1524|plasma_membrane
1524,1794,O15357,P56817,plasma_membrane,co_localized,-1,1524|1794|plasma_membrane
1524,2079,O15357,P59044,plasma_membrane,co_localized,-1,1524|2079|plasma_membrane
1524,2050,O15357,P60842,plasma_membrane,co_localized,-1,1524|2050|plasma_membrane
1524,1235,O15357,P60953,plasma_membrane,co_localized,-1,1235|1524|plasma_membrane
1524,1534,O15357,P61073,plasma_membrane,co_localized,-1,1524|1534|plasma_membrane
1524,1674,O15357,P61077,plasma_membrane,co_localized,-1,1524|1674|plasma_membrane
1524,1648,O15357,P61224,plasma_membrane,co_localized,-1,1524|1648|plasma_membrane
1524,1152,O15357,P61586,plasma_membrane,co_localized,-1,1152|1524|plasma_membrane
1524,1732,O15357,P62330,plasma_membrane,co_localized,-1,1524|1732|plasma_membrane
1524,1571,O15357,P62745,plasma_membrane,co_localized,-1,1524|1571|plasma_membrane
1524,1146,O15357,P63000,plasma_membrane,co_localized,-1,1146|1524|plasma_membrane
1524,732,O15357,P63165,plasma_membrane,co_localized,-1,732|1524|plasma_membrane
1524,88,O15357,P63244,plasma_membrane,co_localized,-1,88|1524|plasma_membrane
1524,1264,O15357,P63252,plasma_membrane,co_localized,-1,1264|1524|plasma_membrane
1524,1024,O15357,P78352,plasma_membrane,co_localized,-1,1024|1524|plasma_membrane
1524,1301,O15357,P78380,plasma_membrane,co_localized,-1,1301|1524|plasma_membrane
1524,1329,O15357,P78504,plasma_membrane,co_localized,-1,1329|1524|plasma_membrane
1524,1197,O15357,P79483,plasma_membrane,co_localized,-1,1197|1524|plasma_membrane
1524,1434,O15357,P98155,plasma_membrane,co_localized,-1,1434|1524|plasma_membrane
1524,1343,O15357,P98161,plasma_membrane,co_localized,-1,1343|1524|plasma_membrane
1524,907,O15357,Q01628,plasma_membrane,co_localized,-1,907|1524|plasma_membrane
1524,1236,O15357,Q01638,plasma_membrane,co_localized,-1,1236|1524|plasma_membrane
1524,1953,O15357,Q01844,plasma_membrane,co_localized,-1,1524|1953|plasma_membrane
1524,908,O15357,Q01959,plasma_membrane,co_localized,-1,908|1524|plasma_membrane
1524,1426,O15357,Q02156,plasma_membrane,co_localized,-1,1426|1524|plasma_membrane
1524,2080,O15357,Q02246,plasma_membrane,co_localized,-1,1524|2080|plasma_membrane
1524,829,O15357,Q02763,plasma_membrane,co_localized,-1,829|1524|plasma_membrane
1524,1375,O15357,Q03135,plasma_membrane,co_localized,-1,1375|1524|plasma_membrane
1524,1949,O15357,Q03431,plasma_membrane,co_localized,-1,1524|1949|plasma_membrane
1524,1371,O15357,Q04721,plasma_membrane,co_localized,-1,1371|1524|plasma_membrane
1524,1407,O15357,Q05586,plasma_membrane,co_localized,-1,1407|1524|plasma_membrane
1524,1682,O15357,Q06187,plasma_membrane,co_localized,-1,1524|1682|plasma_membrane
1524,909,O15357,Q07912,plasma_membrane,co_localized,-1,909|1524|plasma_membrane
1524,1027,O15357,Q08499,plasma_membrane,co_localized,-1,1027|1524|plasma_membrane
1524,1683,O15357,Q08881,plasma_membrane,co_localized,-1,1524|1683|plasma_membrane
1524,961,O15357,Q10589,plasma_membrane,co_localized,-1,961|1524|plasma_membrane
1524,597,O15357,Q12809,plasma_membrane,co_localized,-1,597|1524|plasma_membrane
1524,1878,O15357,Q12852,plasma_membrane,co_localized,-1,1524|1878|plasma_membrane
1524,1320,O15357,Q12913,plasma_membrane,co_localized,-1,1320|1524|plasma_membrane
1524,735,O15357,Q12959,plasma_membrane,co_localized,-1,735|1524|plasma_membrane
1524,1243,O15357,Q13002,plasma_membrane,co_localized,-1,1243|1524|plasma_membrane
1524,1907,O15357,Q13009,plasma_membrane,co_localized,-1,1524|1907|plasma_membrane
1524,1321,O15357,Q13291,plasma_membrane,co_localized,-1,1321|1524|plasma_membrane
1524,111,O15357,Q13356,plasma_membrane,co_localized,-1,111|1524|plasma_membrane
1524,1228,O15357,Q13467,plasma_membrane,co_localized,-1,1228|1524|plasma_membrane
1524,1685,O15357,Q13492,plasma_membrane,co_localized,-1,1524|1685|plasma_membrane
1524,783,O15357,Q13546,plasma_membrane,co_localized,-1,783|1524|plasma_membrane
1524,1908,O15357,Q13563,plasma_membrane,co_localized,-1,1524|1908|plasma_membrane
1524,1164,O15357,Q13564,plasma_membrane,co_localized,-1,1164|1524|plasma_membrane
1524,1535,O15357,Q13635,plasma_membrane,co_localized,-1,1524|1535|plasma_membrane
1524,1909,O15357,Q13651,plasma_membrane,co_localized,-1,1524|1909|plasma_membrane
1524,1778,O15357,Q13702,plasma_membrane,co_localized,-1,1524|1778|plasma_membrane
1524,962,O15357,Q13740,plasma_membrane,co_localized,-1,962|1524|plasma_membrane
1524,1686,O15357,Q13873,plasma_membrane,co_localized,-1,1524|1686|plasma_membrane
1524,1435,O15357,Q14114,plasma_membrane,co_localized,-1,1435|1524|plasma_membrane
1524,1058,O15357,Q14160,plasma_membrane,co_localized,-1,1058|1524|plasma_membrane
1524,754,O15357,Q14247,plasma_membrane,co_localized,-1,754|1524|plasma_membrane
1524,1536,O15357,Q14511,plasma_membrane,co_localized,-1,1524|1536|plasma_membrane
1524,911,O15357,Q14524,plasma_membrane,co_localized,-1,911|1524|plasma_membrane
1524,1979,O15357,Q14980,plasma_membrane,co_localized,-1,1524|1979|plasma_membrane
1524,438,O15357,Q15040,plasma_membrane,co_localized,-1,438|1524|plasma_membrane
1524,642,O15357,Q15303,plasma_membrane,co_localized,-1,642|1524|plasma_membrane
1524,1519,O15357,Q15311,plasma_membrane,co_localized,-1,1519|1524|plasma_membrane
1524,1633,O15357,Q15465,plasma_membrane,co_localized,-1,1524|1633|plasma_membrane
1524,1687,O15357,Q15642,plasma_membrane,co_localized,-1,1524|1687|plasma_membrane
1524,1209,O15357,Q15678,plasma_membrane,co_localized,-1,1209|1524|plasma_membrane
1524,1538,O15357,Q15811,plasma_membrane,co_localized,-1,1524|1538|plasma_membrane
1524,1035,O15357,Q15849,plasma_membrane,co_localized,-1,1035|1524|plasma_membrane
1524,1573,O15357,Q15858,plasma_membrane,co_localized,-1,1524|1573|plasma_membrane
1524,1574,O15357,Q16620,plasma_membrane,co_localized,-1,1524|1574|plasma_membrane
1524,675,O15357,Q16623,plasma_membrane,co_localized,-1,675|1524|plasma_membrane
1524,1540,O15357,Q16625,plasma_membrane,co_localized,-1,1524|1540|plasma_membrane
1524,1200,O15357,Q30154,plasma_membrane,co_localized,-1,1200|1524|plasma_membrane
1524,1966,O15357,Q4U2R8,plasma_membrane,co_localized,-1,1524|1966|plasma_membrane
1524,915,O15357,Q4VCS5,plasma_membrane,co_localized,-1,915|1524|plasma_membrane
