uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
Q6VVB1,NHLRC1,E3,161,1,0,0
Q6X9E4,FBXW12,E3,162,1,0,0
Q6ZMZ0,RNF19B,E3,163,1,0,0
Q6ZN04,MEX3B,E3,164,1,0,0
Q6ZNA4,RNF111,E3,165,1,0,0
Q6ZW49,PAXIP1,E3,166,1,0,0
Q75N03,CBLL1,E3,167,1,0,0
Q76N89,HECW1,E3,168,1,0,0
Q7L5Y6,DET1,E3,169,1,0,0
Q7Z419,RNF144B,E3,170,1,0,0
Q7Z4K8,TRIM46,E3,171,1,0,0
Q7Z569,BRAP,E3,172,1,0,1
Q7Z6E9,RBBP6,E3,173,1,0,0
Q7Z6J0,SH3RF1,E3,174,1,0,1
Q7Z6M2,FBXO33,E3,175,1,0,0
Q7Z6Z7,HUWE1,E3,176,1,0,1
Q86T96,RNF180,E3,177,1,0,0
Q86TM6,SYVN1,E3,178,1,0,1
Q86UW9,DTX2,E3,179,1,0,1
Q86WB0,ZC3HC1,E3,180,1,0,1
Q86WC4,OSTM1,E3,181,1,0,0
Q86WT6,TRIM69,E3,182,1,0,0
Q86XK2,FBXO11,E3,183,1,0,0
Q86XS8,RNF130,E3,184,1,0,0
Q86XT4,TRIM50,E3,185,1,0,1
Q86Y01,DTX1,E3,186,1,0,1
Q86Y13,DZIP3,E3,187,1,0,0
Q86YJ5,MARCHF9,E3,188,1,0,0
Q86YT6,MIB1,E3,189,1,0,1
Q8IUD6,RNF135,E3,190,1,0,0
Q8IUQ4,SIAH1,E3,191,1,0,1
Q8IWR1,TRIM59,E3,192,1,0,0
Q8IWV7,UBR1,E3,193,1,0,0
Q8IWV8,UBR2,E3,194,1,0,0
Q8IX12,CCAR1,E3,195,1,0,0
Q8IXQ5,KLHL7,E3,196,1,0,0
Q8IYM9,TRIM22,E3,197,1,0,1
Q8IYU2,HACE1,E3,198,1,0,0
Q8IYW5,RNF168,E3,199,1,0,1
Q8N1E6,FBXL14,E3,200,1,0,0
Q8N2H9,PELI3,E3,201,1,0,0
Q8N2W9,PIAS4,E3,202,1,0,1
Q8N3Y1,FBXW8,E3,203,1,0,0
Q8N448,LNX2,E3,204,1,0,0
Q8N531,FBXL6,E3,205,1,0,0
Q8N5Z5,KCTD17,E3,206,1,0,0
Q8N6D2,RNF182,E3,207,1,0,0
Q8N806,UBR7,E3,208,1,0,0
Q8N8N0,RNF152,E3,209,1,0,0
Q8N9I9,DTX3,E3,210,1,0,1
Q8NC42,RNF149,E3,211,1,0,0
Q8NCQ5,FBXO15,E3,212,1,0,0
Q8ND25,ZNRF1,E3,213,1,0,1
Q8NEG5,ZSWIM2,E3,214,1,0,1
Q8NEZ5,FBXO22,E3,215,1,0,0
Q8NFD5,ARID1B,E3,216,1,0,1
Q8NFZ0,FBXO18,E3,217,1,0,1
Q8NG06,TRIM58,E3,218,1,0,0
Q8NG27,PJA1,E3,219,1,0,0
Q8NHG8,ZNRF2,E3,220,1,0,1
Q8NHM5,KDM2B,E3,221,1,0,0
Q8NHY2,COP1,E3,222,1,0,1
Q8NI29,FBXO27,E3,223,1,0,0
Q8TB52,FBXO30,E3,224,1,0,0
Q8TBB1,LNX1,E3,225,1,0,0
Q8TCJ0,FBXO25,E3,226,1,0,0
Q8TCQ1,MARCHF1,E3,227,1,0,0
Q8TDB6,DTX3L,E3,228,1,0,1
