fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,model,w_hgt,w_edgeaware,w_hetero,w_graphsage,w_xgb,w_nn
2,0.8714782373126242,0.9270354300844876,0.839458413926499,0.7990314769975787,0.8565789473684211,0.8230088495575221,0.14627168811882152,hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0
3,0.8949155162039977,0.9341868239844191,0.8506967485069675,0.8184019370460048,0.865047233468286,0.8368146214099217,0.13089653556608813,hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0
4,0.8609946556641652,0.9167198213060558,0.8351920693928129,0.7853107344632768,0.7985781990521327,0.8753246753246753,0.1672906060501864,hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0
0,0.8409884866494126,0.8876223752723847,0.7877055039313795,0.760483870967742,0.8043795620437956,0.7717086834733894,0.1641719549444823,hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0
1,0.8822233253357602,0.9208922390265883,0.8488448844884489,0.8151735270379338,0.8573333333333333,0.8405228758169935,0.1359089205984682,hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0
2,0.8726775555354884,0.9276008157790693,0.8365508365508365,0.7949959644874899,0.8519003931847968,0.8217446270543616,0.1449371407095679,hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0
3,0.8956082778112044,0.9344633042419521,0.8484447385837194,0.8151735270379338,0.8604026845637583,0.8368146214099217,0.12974800097958317,hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0
4,0.8528950793343117,0.9105464549602746,0.8287629494210847,0.7732041969330105,0.7807118254879449,0.8831168831168831,0.1696007272005807,hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0
0,0.8374711101170507,0.881523466486008,0.7915492957746478,0.7612903225806451,0.7960339943342776,0.7871148459383753,0.16248429192076919,hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1
1,0.8693168969416178,0.9165924576537015,0.8460526315789474,0.8111380145278451,0.8516556291390729,0.8405228758169935,0.14080208752956325,hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1
2,0.8658315649268558,0.9214384595329503,0.8340865074241446,0.7925746569814366,0.8522427440633246,0.8166877370417194,0.1432958452520797,hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1
3,0.8928455114015863,0.9344435399636909,0.8529993408042189,0.8200161420500404,0.8615179760319573,0.8446475195822454,0.12801444811600485,hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1
4,0.8538670284938942,0.9093334056992537,0.8370098039215687,0.7853107344632768,0.7923433874709976,0.887012987012987,0.1576156666196989,hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1
0,0.8439786561012238,0.8864965692168412,0.7935165609584214,0.7637096774193548,0.798581560283688,0.788515406162465,0.1597549900377429,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1
1,0.8778798157800392,0.9231160403936275,0.8443860801050558,0.8087167070217918,0.8482849604221636,0.8405228758169935,0.1364646294595534,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1
2,0.86860269550298,0.9238798389188113,0.8392056374119155,0.7974172719935432,0.8506493506493507,0.8280657395701644,0.1424854207204043,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1
3,0.8970628011856988,0.9385512663077488,0.85,0.8159806295399515,0.8567639257294429,0.8433420365535248,0.12721225879865466,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1
4,0.8576274471796859,0.9124423270439825,0.8443893366398016,0.7974172719935432,0.8078291814946619,0.8844155844155844,0.15547367134983306,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1
0,0.8377719909256478,0.8792417294118007,0.8025210084033614,0.7725806451612903,0.8025210084033614,0.8025210084033614,0.16172958039474183,all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,0.8705441107525992,0.9185761404197268,0.847457627118644,0.8111380145278451,0.8452535760728218,0.8496732026143791,0.1414707765841545,all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,0.8609722096803323,0.9185998261663985,0.8383005707038681,0.7941888619854721,0.8409669211195929,0.8356510745891277,0.1454822685247689,all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,0.8901517451520486,0.9340684427996662,0.8491909385113269,0.8119451170298628,0.8421052631578947,0.856396866840731,0.13133162417300043,all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,0.8528147758424944,0.9084967985315617,0.8393402565668907,0.7877320419693301,0.7923875432525952,0.8922077922077922,0.15527412533918272,all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
