gene,importance,pair_id,enz_gene,sub_gene,prob_hgt_saved,y_true
FBXO42,7.212162017822266e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
ITCH,0.0014142394065856934,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
RIPK1,0.0001672506332397461,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
NFE2,1.7583370208740234e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
POLR2A,1.7464160919189453e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
POU5F1,1.6391277313232422e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
ARID1A,1.6033649444580078e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
CEBPA,1.5556812286376953e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
JUNB,1.531839370727539e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
MYC,1.4781951904296875e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
JUN,1.4424324035644531e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
DTX1,1.4066696166992188e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
GLI1,1.3589859008789062e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
SOX2,1.2516975402832031e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
N4BP1,1.2278556823730469e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
KLF10,1.1801719665527344e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
SMAD7,1.1682510375976562e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
FBXO42,1.0132789611816406e-05,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
SMAD6,9.5367431640625e-06,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
SMAD3,9.417533874511719e-06,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
UBE2O,9.298324584960938e-06,E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0
VHL,0.0004500150680541992,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
DVL2,0.00016260147094726562,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
DPPA2,1.3113021850585938e-05,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
UIMC1,1.1563301086425781e-05,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
TRIM33,9.47713851928711e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
FOXK2,9.357929229736328e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
BCL6,9.238719940185547e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
BLM,7.450580596923828e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
CEP68,6.735324859619141e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
DTX1,6.616115570068359e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
REST,6.496906280517578e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
DVL3,5.900859832763672e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
ZBTB8A,5.900859832763672e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
RNPS1,5.185604095458984e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
SOCS3,5.185604095458984e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
KDM1A,5.185604095458984e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
FANCI,4.947185516357422e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
WT1,4.589557647705078e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
POLH,4.470348358154297e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
CSNK2B,4.351139068603516e-06,E3|P40337|O14641,VHL,DVL2,0.9960174,1.0
USP8,0.001112222671508789,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
ITCH,0.00021702051162719727,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
ID1,4.118680953979492e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
PJA1,1.800060272216797e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
YY1,1.2814998626708984e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
NFE2L2,1.1622905731201172e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
TRRAP,1.1622905731201172e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
TP63,1.138448715209961e-05,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
STAT6,9.715557098388672e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
USP21,8.165836334228516e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
USP28,6.973743438720703e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
USP22,6.854534149169922e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
MCPH1,6.258487701416016e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
SHANK3,5.900859832763672e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
NFE2,5.781650543212891e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
MYC,5.125999450683594e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
JUN,5.0067901611328125e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
POU5F1,5.0067901611328125e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
DTX1,4.887580871582031e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
POLR2A,4.887580871582031e-06,DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0
