gene,frequency,mean_importance,total_importance
TBX21,1,6.258487701416016e-06,6.258487701416016e-06
RECQL4,1,6.198883056640625e-06,6.198883056640625e-06
SPIN1,3,2.0662943522135415e-06,6.198883056640625e-06
PTEN,3,2.0662943522135415e-06,6.198883056640625e-06
PLCG1,1,6.139278411865234e-06,6.139278411865234e-06
KDM3A,1,6.139278411865234e-06,6.139278411865234e-06
MRPS7,2,3.039836883544922e-06,6.079673767089844e-06
RNF146,1,6.079673767089844e-06,6.079673767089844e-06
MKRN2,2,3.0100345611572266e-06,6.020069122314453e-06
TANK,2,3.0100345611572266e-06,6.020069122314453e-06
PDPK1,1,6.020069122314453e-06,6.020069122314453e-06
LDLR,3,2.006689707438151e-06,6.020069122314453e-06
BFAR,2,3.0100345611572266e-06,6.020069122314453e-06
RNF186,2,2.9802322387695312e-06,5.9604644775390625e-06
ZBTB8A,1,5.900859832763672e-06,5.900859832763672e-06
EWSR1,3,1.9669532775878906e-06,5.900859832763672e-06
TNFAIP1,3,1.9669532775878906e-06,5.900859832763672e-06
MAPT,4,1.475214958190918e-06,5.900859832763672e-06
PTPRJ,1,5.900859832763672e-06,5.900859832763672e-06
FGFR3,2,2.9206275939941406e-06,5.841255187988281e-06
OPA1,2,2.86102294921875e-06,5.7220458984375e-06
PDHX,2,2.86102294921875e-06,5.7220458984375e-06
ZEB1,1,5.662441253662109e-06,5.662441253662109e-06
RPS27A,3,1.8676122029622395e-06,5.602836608886719e-06
HGS,3,1.8676122029622395e-06,5.602836608886719e-06
NCL,3,1.8676122029622395e-06,5.602836608886719e-06
PHLPP2,1,5.602836608886719e-06,5.602836608886719e-06
DLG5,3,1.8477439880371094e-06,5.543231964111328e-06
DEK,1,5.543231964111328e-06,5.543231964111328e-06
TRIM41,1,5.4836273193359375e-06,5.4836273193359375e-06
TERF1,1,5.4836273193359375e-06,5.4836273193359375e-06
EIF3F,3,1.8278757731119792e-06,5.4836273193359375e-06
VAV1,1,5.4836273193359375e-06,5.4836273193359375e-06
PTPN6,1,5.424022674560547e-06,5.424022674560547e-06
RBX1,2,2.7120113372802734e-06,5.424022674560547e-06
SLC3A2,2,2.7120113372802734e-06,5.424022674560547e-06
KAT2A,1,5.424022674560547e-06,5.424022674560547e-06
USP20,1,5.364418029785156e-06,5.364418029785156e-06
LNX1,4,1.3113021850585938e-06,5.245208740234375e-06
NOTCH1,3,1.7484029134114583e-06,5.245208740234375e-06
TAB3,3,1.7484029134114583e-06,5.245208740234375e-06
