family,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Graph learning,weighted_graph0.5_xgb0.25_nn0.25,0.8289353506035109,0.0214625979833957,0.8881053346383512,0.0231172574512582,0.807329843771139,0.7604953266161576,0.796773057112655,0.8198234446470039,0.165688739623629,11
Graph learning,weighted_graph0.7_nn0.3,0.8314820142413856,0.022627545099777,0.8879871687171527,0.0232423745835365,0.8050888188786789,0.761140878439949,0.8048455871047457,0.8073946345281309,0.1661589361252014,12
Graph learning,weighted_graph0.6_nn0.4,0.8293713041058515,0.0215004812488428,0.8865645459465229,0.0239746326969228,0.806682964477986,0.7632389544117264,0.8069745932867896,0.8078318231922139,0.166752792582702,13
Graph learning,weighted_graph0.7_xgb0.3,0.8275669872896018,0.0211825523087835,0.885564728940366,0.0191330719632255,0.8057596980881107,0.7582343981879246,0.794687185425292,0.8191888645303221,0.1678264654308162,14
Graph learning,weighted_graph0.8_xgb0.2,0.827840177358431,0.0209454698507653,0.8854768053775122,0.0185474671006312,0.8023800949260872,0.7554902496810644,0.7959905402715549,0.8109490379623292,0.169304361988767,15
Graph learning,weighted_graph0.4_xgb0.3_nn0.3,0.8236427203479197,0.0210126797454651,0.8852990435327797,0.0235810512146187,0.7991591891638014,0.7488735712983936,0.7848192494060032,0.8151585339223958,0.1684697121599731,16
Graph learning,weighted_graph0.6_xgb0.4,0.8256749008381734,0.021208013690751,0.884708439876239,0.0197490059712851,0.8089983618715783,0.7600089822697805,0.7909843945893191,0.8294534432988758,0.1682859634781841,17
Graph learning,GraphSAGE,0.8217995163004239,0.0205983064055109,0.8783286908425778,0.0158535113073882,0.7992124646056293,0.7540383764221927,0.8003400320900298,0.8005170834373965,0.1780723390343099,18
Graph learning,weighted_graph_only,0.8217995163004239,0.0205983064055109,0.8783286908425778,0.0158535113073882,0.7992124646056293,0.7540383764221927,0.8003400320900298,0.8005170834373965,0.1780723389206256,19
Cross-model fusion,esm650__esm3b__protbert_bfd | xgboost,0.7658859023185329,0.0216601335771636,0.8500344872681099,0.0272939951620475,0.7676695433232358,0.7004601786039729,0.7335175320517024,0.806996677091641,0.2117269823218212,20
