embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm2_t6_8M_UR50D,per_residue,random_forest,0.63136384175626,0.025017558399543376,0.7397070271453694,0.04165744971810585,0.7274309202568023,0.015462603461438655,0.6186309198364967,0.02236161510060837,0.649715851205543,0.03761026295476403,0.8296518654158402,0.03305086227088337,0.22630862525638987,0.010382587075916029
esm2_t12_35M_UR50D,per_residue,random_forest,0.624905910686171,0.017074453967797155,0.7391438501297992,0.03156477556979311,0.7179368085242265,0.025512195827332818,0.604914082636882,0.029381078309341092,0.6398317626129998,0.03918230442141262,0.8205332399049456,0.035865549545889885,0.22721666388415668,0.008885223986442932
esm2_t12_35M_UR50D,per_residue,xgboost,0.6250794608232166,0.01366892869065087,0.7376682306589247,0.03443360725452968,0.6970388874121325,0.022003015445043468,0.6082996172772006,0.016151487525292073,0.6632891999805588,0.033077021641058704,0.7352951616015522,0.019751870426626704,0.2579266276593296,0.013143850246413413
esm2_t36_3B_UR50D,per_residue,xgboost,0.6255954115615141,0.02431134798112138,0.7343613797386641,0.045965830499932366,0.7028713154470451,0.02369327057367707,0.6105601551719648,0.02043847787238852,0.6609264398262531,0.03577540934848367,0.7516399988848476,0.021152188581701717,0.2537657640243504,0.017110342996908414
esm2_t33_650M_UR50D,per_residue,xgboost,0.6229609656127859,0.02650558737821884,0.7301034931049962,0.04201687015446486,0.7034866318578307,0.03126731821020414,0.6097550053372907,0.03044619373803099,0.6592119082113103,0.04277775972521733,0.7560076875890884,0.035444648676606384,0.2558645663506226,0.017969742824176207
esm2_t33_650M_UR50D,per_residue,random_forest,0.6242300518308991,0.027533404090158736,0.7299899172267456,0.04806746571154388,0.7311858163046967,0.020478571468097055,0.620245385196178,0.024860162148400845,0.6473996819203246,0.0373935789734342,0.8421157119884836,0.01941664774607539,0.22648106509978047,0.0102655259599976
esm2_t30_150M_UR50D,per_residue,random_forest,0.6118586437652274,0.022323238889516546,0.7239210915015996,0.03567786935506867,0.7282588899558554,0.0205337590359347,0.6173403369002056,0.024823904310336577,0.6463585641221173,0.035854773591399984,0.8361501199832346,0.024818805750107736,0.22908923600948827,0.009410720351842124
esm2_t36_3B_UR50D,per_residue,random_forest,0.610948481666853,0.019919820314304913,0.7229391957727008,0.04450066376080505,0.72255316875436,0.01987200602292632,0.6073334374755917,0.025753157366145543,0.6392855127000965,0.03800219695679156,0.8338233458171033,0.03190232270722862,0.22898546912453374,0.009943614965858811
esm2_t30_150M_UR50D,per_residue,xgboost,0.605853058850861,0.024694872023781553,0.7227642714213067,0.03872234394903901,0.6879835306654238,0.03146295823156715,0.5968433179723502,0.027788476682329446,0.6548843884367589,0.03978330497012738,0.7259625301384214,0.03512626888346857,0.2664451176845662,0.016553098436492827
esm2_t6_8M_UR50D,per_residue,logistic,0.6108878338695544,0.021314579603086657,0.7201720260387643,0.03610696760794245,0.6114735743170094,0.03439163905665772,0.5719815668202766,0.020399860689575552,0.6906481375796982,0.035184961528545035,0.5517801284610091,0.05595544720595743,0.24142557698270783,0.003777199182378812
